Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
1,30,3,1,0,1,0,0,2,0.6166666666666667
2,30,3,1,0,2,0,0,2,0.4666666666666667
3,30,3,1,0,3,0,0,2,0.4033333333333333
4,30,3,3,0,1,0,0,2,0.5733333333333334
5,30,3,3,0,2,0,0,2,0.46
6,30,3,3,0,3,0,0,2,0.43333333333333335
7,30,3,4,0,1,0,0,2,0.6566666666666666
8,30,3,4,0,2,0,0,2,0.4633333333333333
9,30,3,4,0,3,0,0,2,0.4766666666666667
10,30,3,10,0,1,0,0,2,0.8066666666666666
11,30,3,10,0,2,0,0,2,0.79
12,30,3,10,0,3,0,0,2,0.7033333333333334
13,30,3,15,0,1,0,0,2,0.9966666666666667
14,30,3,15,0,2,0,0,2,0.9833333333333333
15,30,3,15,0,3,0,0,2,0.99
16,30,4,1,0,1,0,0,2,0.6666666666666666
17,30,4,1,0,2,0,0,2,0.62
18,30,4,1,0,3,0,0,2,0.6266666666666667
19,30,4,3,0,1,0,0,2,0.6766666666666666
20,30,4,3,0,2,0,0,2,0.6633333333333333
21,30,4,3,0,3,0,0,2,0.67
22,30,4,4,0,1,0,0,2,0.7266666666666667
23,30,4,4,0,2,0,0,2,0.72
24,30,4,4,0,3,0,0,2,0.6866666666666666
25,30,4,10,0,1,0,0,2,0.9533333333333334
26,30,4,10,0,2,0,0,2,0.9266666666666666
27,30,4,10,0,3,0,0,2,0.8833333333333333
28,30,4,15,0,1,0,0,2,1.0
29,30,4,15,0,2,0,0,2,1.0
30,30,4,15,0,3,0,0,2,1.0
31,30,5,1,0,1,0,0,2,0.7366666666666667
32,30,5,1,0,2,0,0,2,0.7133333333333334
33,30,5,1,0,3,0,0,2,0.72
34,30,5,3,0,1,0,0,2,0.7966666666666666
35,30,5,3,0,2,0,0,2,0.74
36,30,5,3,0,3,0,0,2,0.7266666666666667
37,30,5,4,0,1,0,0,2,0.8066666666666666
38,30,5,4,0,2,0,0,2,0.8066666666666666
39,30,5,4,0,3,0,0,2,0.76
40,30,5,10,0,1,0,0,2,0.9833333333333333
41,30,5,10,0,2,0,0,2,0.98
42,30,5,10,0,3,0,0,2,0.9633333333333334
43,30,5,15,0,1,0,0,2,1.0
44,30,5,15,0,2,0,0,2,1.0
45,30,5,15,0,3,0,0,2,1.0
46,30,10,1,0,1,0,0,2,0.9066666666666666
47,30,10,1,0,2,0,0,2,0.8833333333333333
48,30,10,1,0,3,0,0,2,0.88
49,30,10,3,0,1,0,0,2,0.8733333333333333
50,30,10,3,0,2,0,0,2,0.94
51,30,10,3,0,3,0,0,2,0.9033333333333333
52,30,10,4,0,1,0,0,2,0.9166666666666666
53,30,10,4,0,2,0,0,2,0.9066666666666666
54,30,10,4,0,3,0,0,2,0.8933333333333333
55,30,10,10,0,1,0,0,2,1.0
56,30,10,10,0,2,0,0,2,1.0
57,30,10,10,0,3,0,0,2,1.0
58,30,10,15,0,1,0,0,2,1.0
59,30,10,15,0,2,0,0,2,1.0
60,30,10,15,0,3,0,0,2,1.0
61,30,15,1,0,1,0,0,2,0.9333333333333333
62,30,15,1,0,2,0,0,2,0.9133333333333333
63,30,15,1,0,3,0,0,2,0.9366666666666666
64,30,15,3,0,1,0,0,2,0.9466666666666667
65,30,15,3,0,2,0,0,2,0.97
66,30,15,3,0,3,0,0,2,0.96
67,30,15,4,0,1,0,0,2,0.9466666666666667
68,30,15,4,0,2,0,0,2,0.9466666666666667
69,30,15,4,0,3,0,0,2,0.92
70,30,15,10,0,1,0,0,2,1.0
71,30,15,10,0,2,0,0,2,1.0
72,30,15,10,0,3,0,0,2,1.0
73,30,15,15,0,1,0,0,2,0.0
74,30,15,15,0,2,0,0,2,0.0
75,30,15,15,0,3,0,0,2,0.0
76,100,3,1,0,1,0,0,2,0.39666666666666667
77,100,3,1,0,2,0,0,2,0.32
78,100,3,1,0,3,0,0,2,0.16333333333333333
79,100,3,3,0,1,0,0,2,0.38
80,100,3,3,0,2,0,0,2,0.32666666666666666
81,100,3,3,0,3,0,0,2,0.22333333333333333
82,100,3,4,0,1,0,0,2,0.37666666666666665
83,100,3,4,0,2,0,0,2,0.26666666666666666
84,100,3,4,0,3,0,0,2,0.21333333333333335
85,100,3,10,0,1,0,0,2,0.6266666666666667
86,100,3,10,0,2,0,0,2,0.43333333333333335
87,100,3,10,0,3,0,0,2,0.37
88,100,3,15,0,1,0,0,2,0.91
89,100,3,15,0,2,0,0,2,0.7533333333333333
90,100,3,15,0,3,0,0,2,0.73
91,100,4,1,0,1,0,0,2,0.54
92,100,4,1,0,2,0,0,2,0.38
93,100,4,1,0,3,0,0,2,0.27666666666666667
94,100,4,3,0,1,0,0,2,0.54
95,100,4,3,0,2,0,0,2,0.4066666666666667
96,100,4,3,0,3,0,0,2,0.35
97,100,4,4,0,1,0,0,2,0.49333333333333335
98,100,4,4,0,2,0,0,2,0.43666666666666665
99,100,4,4,0,3,0,0,2,0.39666666666666667
100,100,4,10,0,1,0,0,2,0.8466666666666667
101,100,4,10,0,2,0,0,2,0.6466666666666666
102,100,4,10,0,3,0,0,2,0.6333333333333333
103,100,4,15,0,1,0,0,2,0.9566666666666667
104,100,4,15,0,2,0,0,2,0.8933333333333333
105,100,4,15,0,3,0,0,2,0.84
106,100,5,1,0,1,0,0,2,0.5566666666666666
107,100,5,1,0,2,0,0,2,0.48333333333333334
108,100,5,1,0,3,0,0,2,0.47333333333333333
109,100,5,3,0,1,0,0,2,0.5833333333333334
110,100,5,3,0,2,0,0,2,0.48
111,100,5,3,0,3,0,0,2,0.49333333333333335
112,100,5,4,0,1,0,0,2,0.5766666666666667
113,100,5,4,0,2,0,0,2,0.52
114,100,5,4,0,3,0,0,2,0.4866666666666667
115,100,5,10,0,1,0,0,2,0.88
116,100,5,10,0,2,0,0,2,0.8566666666666667
117,100,5,10,0,3,0,0,2,0.7966666666666666
118,100,5,15,0,1,0,0,2,0.9933333333333333
119,100,5,15,0,2,0,0,2,0.98
120,100,5,15,0,3,0,0,2,0.97
121,100,10,1,0,1,0,0,2,0.76
122,100,10,1,0,2,0,0,2,0.7433333333333333
123,100,10,1,0,3,0,0,2,0.7466666666666667
124,100,10,3,0,1,0,0,2,0.8066666666666666
125,100,10,3,0,2,0,0,2,0.7766666666666666
126,100,10,3,0,3,0,0,2,0.7766666666666666
127,100,10,4,0,1,0,0,2,0.8333333333333334
128,100,10,4,0,2,0,0,2,0.8066666666666666
129,100,10,4,0,3,0,0,2,0.7666666666666667
130,100,10,10,0,1,0,0,2,1.0
131,100,10,10,0,2,0,0,2,0.99
132,100,10,10,0,3,0,0,2,0.9966666666666667
133,100,10,15,0,1,0,0,2,1.0
134,100,10,15,0,2,0,0,2,1.0
135,100,10,15,0,3,0,0,2,1.0
136,100,15,1,0,1,0,0,2,0.8433333333333334
137,100,15,1,0,2,0,0,2,0.82
138,100,15,1,0,3,0,0,2,0.86
139,100,15,3,0,1,0,0,2,0.88
140,100,15,3,0,2,0,0,2,0.87
141,100,15,3,0,3,0,0,2,0.87
142,100,15,4,0,1,0,0,2,0.8833333333333333
143,100,15,4,0,2,0,0,2,0.8733333333333333
144,100,15,4,0,3,0,0,2,0.8333333333333334
145,100,15,10,0,1,0,0,2,1.0
146,100,15,10,0,2,0,0,2,1.0
147,100,15,10,0,3,0,0,2,1.0
148,100,15,15,0,1,0,0,2,1.0
149,100,15,15,0,2,0,0,2,1.0
150,100,15,15,0,3,0,0,2,1.0
151,500,3,1,0,1,0,0,2,0.22
152,500,3,1,0,2,0,0,2,0.14666666666666667
153,500,3,1,0,3,0,0,2,0.08333333333333333
154,500,3,3,0,1,0,0,2,0.16333333333333333
155,500,3,3,0,2,0,0,2,0.11333333333333333
156,500,3,3,0,3,0,0,2,0.04666666666666667
157,500,3,4,0,1,0,0,2,0.18666666666666668
158,500,3,4,0,2,0,0,2,0.16333333333333333
159,500,3,4,0,3,0,0,2,0.043333333333333335
160,500,3,10,0,1,0,0,2,0.6133333333333333
161,500,3,10,0,2,0,0,2,0.38666666666666666
162,500,3,10,0,3,0,0,2,0.23333333333333334
163,500,3,15,0,1,0,0,2,0.8033333333333333
164,500,3,15,0,2,0,0,2,0.7
165,500,3,15,0,3,0,0,2,0.5933333333333334
166,500,4,1,0,1,0,0,2,0.31
167,500,4,1,0,2,0,0,2,0.24333333333333335
168,500,4,1,0,3,0,0,2,0.16666666666666666
169,500,4,3,0,1,0,0,2,0.2733333333333333
170,500,4,3,0,2,0,0,2,0.21
171,500,4,3,0,3,0,0,2,0.16333333333333333
172,500,4,4,0,1,0,0,2,0.22
173,500,4,4,0,2,0,0,2,0.18666666666666668
174,500,4,4,0,3,0,0,2,0.19333333333333333
175,500,4,10,0,1,0,0,2,0.8166666666666667
176,500,4,10,0,2,0,0,2,0.64
177,500,4,10,0,3,0,0,2,0.49666666666666665
178,500,4,15,0,1,0,0,2,0.9533333333333334
179,500,4,15,0,2,0,0,2,0.86
180,500,4,15,0,3,0,0,2,0.8133333333333334
181,500,5,1,0,1,0,0,2,0.32666666666666666
182,500,5,1,0,2,0,0,2,0.25333333333333335
183,500,5,1,0,3,0,0,2,0.25333333333333335
184,500,5,3,0,1,0,0,2,0.33
185,500,5,3,0,2,0,0,2,0.26
186,500,5,3,0,3,0,0,2,0.26
187,500,5,4,0,1,0,0,2,0.36333333333333334
188,500,5,4,0,2,0,0,2,0.27666666666666667
189,500,5,4,0,3,0,0,2,0.23333333333333334
190,500,5,10,0,1,0,0,2,0.8866666666666667
191,500,5,10,0,2,0,0,2,0.7833333333333333
192,500,5,10,0,3,0,0,2,0.72
193,500,5,15,0,1,0,0,2,0.9733333333333334
194,500,5,15,0,2,0,0,2,0.9566666666666667
195,500,5,15,0,3,0,0,2,0.92
196,500,10,1,0,1,0,0,2,0.5166666666666667
197,500,10,1,0,2,0,0,2,0.41333333333333333
198,500,10,1,0,3,0,0,2,0.45
199,500,10,3,0,1,0,0,2,0.5733333333333334
200,500,10,3,0,2,0,0,2,0.49
201,500,10,3,0,3,0,0,2,0.49333333333333335
202,500,10,4,0,1,0,0,2,0.5666666666666667
203,500,10,4,0,2,0,0,2,0.5133333333333333
204,500,10,4,0,3,0,0,2,0.51
205,500,10,10,0,1,0,0,2,1.0
206,500,10,10,0,2,0,0,2,0.9933333333333333
207,500,10,10,0,3,0,0,2,0.9833333333333333
208,500,10,15,0,1,0,0,2,1.0
209,500,10,15,0,2,0,0,2,1.0
210,500,10,15,0,3,0,0,2,1.0
211,500,15,1,0,1,0,0,2,0.7133333333333334
212,500,15,1,0,2,0,0,2,0.5966666666666667
213,500,15,1,0,3,0,0,2,0.5866666666666667
214,500,15,3,0,1,0,0,2,0.6966666666666667
215,500,15,3,0,2,0,0,2,0.67
216,500,15,3,0,3,0,0,2,0.6533333333333333
217,500,15,4,0,1,0,0,2,0.7033333333333334
218,500,15,4,0,2,0,0,2,0.6633333333333333
219,500,15,4,0,3,0,0,2,0.7166666666666667
220,500,15,10,0,1,0,0,2,1.0
221,500,15,10,0,2,0,0,2,1.0
222,500,15,10,0,3,0,0,2,1.0
223,500,15,15,0,1,0,0,2,1.0
224,500,15,15,0,2,0,0,2,1.0
225,500,15,15,0,3,0,0,2,1.0
226,1000,3,1,0,1,0,0,2,0.14666666666666667
227,1000,3,1,0,2,0,0,2,0.11333333333333333
228,1000,3,1,0,3,0,0,2,0.056666666666666664
229,1000,3,3,0,1,0,0,2,0.12666666666666668
230,1000,3,3,0,2,0,0,2,0.08666666666666667
231,1000,3,3,0,3,0,0,2,0.056666666666666664
232,1000,3,4,0,1,0,0,2,0.09666666666666666
233,1000,3,4,0,2,0,0,2,0.1
234,1000,3,4,0,3,0,0,2,0.043333333333333335
235,1000,3,10,0,1,0,0,2,0.5733333333333334
236,1000,3,10,0,2,0,0,2,0.44666666666666666
237,1000,3,10,0,3,0,0,2,0.21333333333333335
238,1000,3,15,0,1,0,0,2,0.8533333333333334
239,1000,3,15,0,2,0,0,2,0.7133333333333334
240,1000,3,15,0,3,0,0,2,0.6033333333333334
241,1000,4,1,0,1,0,0,2,0.22
242,1000,4,1,0,2,0,0,2,0.18333333333333332
243,1000,4,1,0,3,0,0,2,0.14333333333333334
244,1000,4,3,0,1,0,0,2,0.23
245,1000,4,3,0,2,0,0,2,0.15
246,1000,4,3,0,3,0,0,2,0.08666666666666667
247,1000,4,4,0,1,0,0,2,0.17333333333333334
248,1000,4,4,0,2,0,0,2,0.16333333333333333
249,1000,4,4,0,3,0,0,2,0.1
250,1000,4,10,0,1,0,0,2,0.8166666666666667
251,1000,4,10,0,2,0,0,2,0.64
252,1000,4,10,0,3,0,0,2,0.53
253,1000,4,15,0,1,0,0,2,0.9466666666666667
254,1000,4,15,0,2,0,0,2,0.89
255,1000,4,15,0,3,0,0,2,0.7966666666666666
256,1000,5,1,0,1,0,0,2,0.22
257,1000,5,1,0,2,0,0,2,0.16333333333333333
258,1000,5,1,0,3,0,0,2,0.16666666666666666
259,1000,5,3,0,1,0,0,2,0.27
260,1000,5,3,0,2,0,0,2,0.16333333333333333
261,1000,5,3,0,3,0,0,2,0.17333333333333334
262,1000,5,4,0,1,0,0,2,0.23333333333333334
263,1000,5,4,0,2,0,0,2,0.21333333333333335
264,1000,5,4,0,3,0,0,2,0.14666666666666667
265,1000,5,10,0,1,0,0,2,0.8733333333333333
266,1000,5,10,0,2,0,0,2,0.8433333333333334
267,1000,5,10,0,3,0,0,2,0.7466666666666667
268,1000,5,15,0,1,0,0,2,0.9933333333333333
269,1000,5,15,0,2,0,0,2,0.9666666666666667
270,1000,5,15,0,3,0,0,2,0.9233333333333333
271,1000,10,1,0,1,0,0,2,0.44333333333333336
272,1000,10,1,0,2,0,0,2,0.37333333333333335
273,1000,10,1,0,3,0,0,2,0.3466666666666667
274,1000,10,3,0,1,0,0,2,0.41333333333333333
275,1000,10,3,0,2,0,0,2,0.41333333333333333
276,1000,10,3,0,3,0,0,2,0.37333333333333335
277,1000,10,4,0,1,0,0,2,0.42333333333333334
278,1000,10,4,0,2,0,0,2,0.45666666666666667
279,1000,10,4,0,3,0,0,2,0.3566666666666667
280,1000,10,10,0,1,0,0,2,1.0
281,1000,10,10,0,2,0,0,2,0.9966666666666667
282,1000,10,10,0,3,0,0,2,0.9933333333333333
283,1000,10,15,0,1,0,0,2,1.0
284,1000,10,15,0,2,0,0,2,1.0
285,1000,10,15,0,3,0,0,2,1.0
286,1000,15,1,0,1,0,0,2,0.5766666666666667
287,1000,15,1,0,2,0,0,2,0.5166666666666667
288,1000,15,1,0,3,0,0,2,0.4533333333333333
289,1000,15,3,0,1,0,0,2,0.5633333333333334
290,1000,15,3,0,2,0,0,2,0.5666666666666667
291,1000,15,3,0,3,0,0,2,0.54
292,1000,15,4,0,1,0,0,2,0.5933333333333334
293,1000,15,4,0,2,0,0,2,0.5166666666666667
294,1000,15,4,0,3,0,0,2,0.5833333333333334
295,1000,15,10,0,1,0,0,2,1.0
296,1000,15,10,0,2,0,0,2,1.0
297,1000,15,10,0,3,0,0,2,1.0
298,1000,15,15,0,1,0,0,2,1.0
299,1000,15,15,0,2,0,0,2,1.0
300,1000,15,15,0,3,0,0,2,1.0
